ImageId,Label
1,8
2,3
3,9
4,8
5,3
6,7
7,3
8,5
9,2
10,4
11,5
12,6
13,3
14,8
15,4
16,9
17,3
18,1
19,9
20,8
21,9
22,1
23,1
24,3
25,7
26,4
27,7
28,7
29,4
30,7
31,7
32,1
33,7
34,7
35,9
36,2
37,0
38,3
39,7
40,2
41,7
42,7
43,4
44,9
45,3
46,7
47,8
48,2
49,4
50,2
51,4
52,8
53,6
54,3
55,0
56,8
57,1
58,2
59,3
60,8
61,4
62,1
63,7
64,2
65,0
66,9
67,1
68,9
69,0
70,1
71,3
72,6
73,8
74,3
75,8
76,2
77,2
78,4
79,4
80,6
81,3
82,4
83,1
84,6
85,3
86,6
87,4
88,0
89,6
90,6
91,0
92,8
93,6
94,6
95,1
96,4
97,3
98,0
99,7
100,4
101,0
102,3
103,7
104,8
105,4
106,2
107,8
108,3
109,8
110,8
111,8
112,8
113,3
114,7
115,1
116,7
117,1
118,1
119,8
120,3
121,3
122,7
123,0
124,9
125,4
126,3
127,8
128,7
129,2
130,7
131,8
132,8
133,4
134,8
135,6
136,5
137,3
138,1
139,0
140,2
141,5
142,8
143,4
144,5
145,5
146,6
147,7
148,4
149,7
150,3
151,1
152,8
153,5
154,9
155,8
156,8
157,7
158,3
159,7
160,2
161,4
162,4
163,9
164,2
165,1
166,3
167,7
168,3
169,3
170,3
171,3
172,7
173,8
174,0
175,1
176,5
177,7
178,2
179,1
180,3
181,4
182,3
183,2
184,0
185,6
186,9
187,2
188,1
189,1
190,3
191,9
192,1
193,7
194,3
195,4
196,8
197,6
198,7
199,9
200,3
201,1
202,9
203,3
204,4
205,9
206,0
207,6
208,9
209,4
210,8
211,6
212,9
213,3
214,9
215,0
216,0
217,1
218,9
219,3
220,4
221,3
222,3
223,1
224,3
225,3
226,1
227,9
228,9
229,1
230,3
231,8
232,4
233,9
234,1
235,7
236,5
237,3
238,2
239,5
240,4
241,8
242,9
243,2
244,3
245,9
246,3
247,5
248,8
249,3
250,7
251,9
252,4
253,1
254,0
255,5
256,9
257,9
258,1
259,4
260,8
261,3
262,4
263,3
264,9
265,7
266,9
267,9
268,3
269,5
270,1
271,9
272,6
273,0
274,8
275,3
276,3
277,1
278,8
279,3
280,4
281,8
282,0
283,2
284,8
285,3
286,3
287,7
288,1
289,8
290,9
291,7
292,9
293,7
294,9
295,9
296,0
297,8
298,7
299,5
300,3
301,5
302,9
303,3
304,9
305,4
306,3
307,7
308,1
309,4
310,6
311,5
312,6
313,9
314,6
315,0
316,0
317,0
318,6
319,1
320,3
321,3
322,1
323,1
324,2
325,8
326,9
327,3
328,1
329,8
330,3
331,9
332,8
333,1
334,3
335,9
336,9
337,0
338,6
339,7
340,4
341,8
342,8
343,1
344,6
345,0
346,0
347,8
348,8
349,3
350,7
351,3
352,7
353,7
354,7
355,8
356,8
357,5
358,3
359,3
360,9
361,3
362,4
363,6
364,8
365,4
366,0
367,3
368,5
369,1
370,6
371,4
372,8
373,7
374,7
375,7
376,4
377,9
378,5
379,3
380,7
381,3
382,0
383,9
384,3
385,0
386,4
387,9
388,1
389,5
390,7
391,1
392,7
393,9
394,2
395,7
396,1
397,1
398,1
399,7
400,6
401,6
402,7
403,9
404,1
405,1
406,1
407,8
408,3
409,2
410,7
411,8
412,4
413,4
414,1
415,3
416,5
417,1
418,1
419,3
420,0
421,5
422,9
423,7
424,3
425,0
426,1
427,4
428,7
429,2
430,7
431,4
432,3
433,5
434,0
435,0
436,1
437,3
438,2
439,0
440,0
441,3
442,4
443,7
444,4
445,7
446,4
447,1
448,6
449,5
450,6
451,2
452,7
453,6
454,9
455,3
456,9
457,5
458,0
459,8
460,8
461,4
462,7
463,3
464,8
465,9
466,1
467,7
468,4
469,4
470,1
471,1
472,9
473,3
474,6
475,6
476,8
477,1
478,6
479,1
480,0
481,4
482,2
483,1
484,7
485,7
486,3
487,4
488,5
489,0
490,7
491,7
492,4
493,7
494,4
495,8
496,4
497,0
498,5
499,0
500,9
501,0
502,2
503,9
504,0
505,1
506,3
507,3
508,3
509,6
510,8
511,7
512,8
513,8
514,5
515,3
516,0
517,3
518,7
519,4
520,4
521,4
522,6
523,9
524,4
525,7
526,1
527,0
528,1
529,1
530,7
531,2
532,5
533,0
534,6
535,8
536,5
537,6
538,3
539,7
540,8
541,3
542,2
543,5
544,0
545,0
546,3
547,0
548,6
549,2
550,1
551,1
552,3
553,8
554,9
555,8
556,3
557,7
558,3
559,6
560,2
561,6
562,8
563,0
564,1
565,8
566,8
567,4
568,1
569,1
570,6
571,0
572,3
573,3
574,6
575,3
576,7
577,2
578,0
579,4
580,3
581,2
582,1
583,2
584,4
585,9
586,1
587,7
588,8
589,8
590,9
591,3
592,8
593,1
594,0
595,3
596,2
597,0
598,9
599,8
600,6
601,7
602,1
603,7
604,1
605,5
606,3
607,8
608,5
609,0
610,4
611,7
612,9
613,0
614,3
615,0
616,5
617,7
618,0
619,8
620,4
621,8
622,2
623,4
624,6
625,6
626,8
627,5
628,0
629,3
630,2
631,6
632,1
633,3
634,6
635,1
636,3
637,7
638,7
639,8
640,3
641,2
642,9
643,9
644,4
645,7
646,0
647,1
648,8
649,1
650,8
651,4
652,8
653,4
654,4
655,2
656,8
657,7
658,3
659,3
660,7
661,3
662,3
663,4
664,8
665,4
666,0
667,1
668,9
669,3
670,7
671,7
672,9
673,4
674,4
675,2
676,7
677,5
678,1
679,3
680,8
681,0
682,9
683,3
684,0
685,1
686,3
687,0
688,0
689,9
690,9
691,7
692,6
693,2
694,1
695,8
696,4
697,3
698,5
699,3
700,8
701,4
702,4
703,0
704,8
705,3
706,6
707,4
708,4
709,4
710,3
711,5
712,3
713,1
714,8
715,8
716,8
717,2
718,8
719,7
720,3
721,9
722,3
723,1
724,5
725,1
726,8
727,4
728,4
729,7
730,9
731,7
732,1
733,6
734,2
735,7
736,7
737,1
738,3
739,1
740,8
741,4
742,4
743,3
744,9
745,3
746,7
747,1
748,7
749,2
750,4
751,6
752,9
753,4
754,4
755,1
756,9
757,7
758,1
759,1
760,0
761,2
762,8
763,7
764,3
765,4
766,8
767,3
768,9
769,1
770,8
771,4
772,8
773,2
774,1
775,5
776,3
777,4
778,3
779,4
780,1
781,1
782,9
783,9
784,2
785,3
786,0
787,4
788,4
789,8
790,3
791,8
792,9
793,4
794,3
795,1
796,8
797,1
798,0
799,9
800,6
801,1
802,1
803,3
804,5
805,1
806,4
807,9
808,8
809,3
810,1
811,7
812,4
813,2
814,8
815,2
816,2
817,0
818,9
819,7
820,4
821,8
822,5
823,3
824,0
825,1
826,9
827,3
828,9
829,6
830,9
831,5
832,0
833,4
834,9
835,6
836,7
837,9
838,1
839,6
840,0
841,1
842,3
843,0
844,3
845,4
846,9
847,7
848,3
849,0
850,9
851,8
852,9
853,4
854,9
855,9
856,9
857,1
858,5
859,6
860,5
861,0
862,7
863,1
864,4
865,9
866,4
867,9
868,9
869,8
870,3
871,7
872,5
873,4
874,8
875,8
876,8
877,1
878,1
879,0
880,1
881,4
882,3
883,1
884,1
885,8
886,7
887,1
888,3
889,4
890,4
891,1
892,7
893,2
894,8
895,4
896,6
897,2
898,4
899,1
900,1
901,3
902,3
